split_family,descriptor_family,r2_mean,r2_sem,r2_std,r2_n,mae_mean,mae_sem,mae_std,mae_n
random,compact_geometry,0.7232894045515756,0.001699211433675892,0.00379955227384417,5,0.30242930680512037,0.0007766579201537672,0.0017366599047274275,5
random,enriched_interpretable,0.758100427547309,0.0013797735693711548,0.003085267494671424,5,0.280186145003824,0.0006629865662244497,0.0014824830302470355,5
geo_grouped,compact_geometry,0.7057606144714886,0.002407549431647033,0.0053834441883537495,5,0.3226621298673213,0.001800195787020539,0.004025360152586659,5
geo_grouped,enriched_interpretable,0.7393332888585045,0.002321769212472224,0.005191633787154045,5,0.3012003563235811,0.00180375421815698,0.004033317046500993,5
metal_grouped,compact_geometry,0.6269386143981263,0.040198474534911675,0.08988652165185676,5,0.3619415409985175,0.044790215418283506,0.10015396640214111,5
metal_grouped,enriched_interpretable,0.6495001076775373,0.03804403715222777,0.08506905321090881,5,0.3489693612364975,0.04241607818063886,0.09484523415085411,5
func_grouped,compact_geometry,0.7179859285612377,0.007594070380374874,0.016980857596435903,5,0.2990082208245484,0.004588779280205024,0.01026082240428099,5
func_grouped,enriched_interpretable,0.7486856243316903,0.009039102024010908,0.020212046581244328,5,0.27954767238848244,0.004307114463596599,0.00963100072747454,5
linker_grouped,compact_geometry,0.7189107768127952,0.0051250740035878005,0.011460013861739324,5,0.3085667377891957,0.0026552108152319955,0.005937231877451377,5
linker_grouped,enriched_interpretable,0.75101160985394,0.004744005739233214,0.010607919318574608,5,0.28765469688333556,0.002602824576810655,0.005820092687255748,5
topology_grouped,compact_geometry,0.25166594195065284,0.13152637858005484,0.2941019233393749,5,0.47099071408488336,0.1373806336348478,0.3071924355995137,5
topology_grouped,enriched_interpretable,0.2674461894481439,0.1124039218023669,0.25134281008766307,5,0.464088928213814,0.13078821299722518,0.292451334917517,5
