split_family,descriptor_family,top_5pct_overlap_mean,top_5pct_overlap_sem,top_5pct_overlap_std,top_5pct_overlap_n,top_5pct_enrichment_mean,top_5pct_enrichment_sem,top_5pct_enrichment_std,top_5pct_enrichment_n
random,compact_geometry,0.5733889310083397,0.0022317188824162192,0.004990275127752527,5,11.465387688308912,0.044625071769739295,0.09978469397794391,5
random,enriched_interpretable,0.6221379833206976,0.0022598724125532724,0.005053228334945567,5,12.440165459508519,0.045188024977168714,0.10104349561790764,5
geo_grouped,compact_geometry,0.5488120950323974,0.005586922373541178,0.012492738212252547,5,10.971086654320354,0.11171103156455407,0.2497934604149676,5
geo_grouped,enriched_interpretable,0.5949244060475162,0.006858514228618403,0.015336104039840284,5,11.892898635063837,0.13710419172940122,0.3065742927071056,5
metal_grouped,compact_geometry,0.5035841533217571,0.0414548589969499,0.09269588271484873,5,10.06910556589066,0.8280797871890552,1.851642694948287,5
metal_grouped,enriched_interpretable,0.5306626363967673,0.04087208910414015,0.09139276961928586,5,10.610563486086352,0.8164018972871965,1.8255301392939727,5
func_grouped,compact_geometry,0.5652042360060514,0.0054765599678218225,0.012245960370903657,5,11.299068659500865,0.10949343071420682,0.2448347541666298,5
func_grouped,enriched_interpretable,0.6064548663640948,0.005411630227048435,0.012100773056772924,5,12.12371659356675,0.10823583767123397,0.2420226906345117,5
linker_grouped,compact_geometry,0.5600197433366239,0.00818902339323157,0.018311212976601786,5,11.19663456993926,0.1637076329128524,0.36606139562871987,5
linker_grouped,enriched_interpretable,0.6023692003948666,0.007023121394179531,0.01570417685161853,5,12.043339985908753,0.14040541664784326,0.3139560560337582,5
topology_grouped,compact_geometry,0.3848063291917757,0.08081722029191724,0.18071279832530235,5,7.694331559969153,1.6159496349055003,3.613373231864666,5
topology_grouped,enriched_interpretable,0.3759120114331019,0.0785266195156278,0.17559085928020537,5,7.5165090620602175,1.5701875207221887,3.511046033756674,5
