split_family,model,mean_r2
func_grouped,hgb,0.6357832964216501
geo_grouped,hgb,0.626620209761269
linker_grouped,hgb,0.628792543655001
metal_grouped,hgb,0.5291133044882148
random,hgb,0.6293284039189514
topology_grouped,hgb,0.09440847043280749
func_grouped,mlp,0.6116240679414782
geo_grouped,mlp,0.5944002276545444
linker_grouped,mlp,0.6048640619438455
metal_grouped,mlp,0.5087370566718216
random,mlp,0.5949007390059508
topology_grouped,mlp,-0.2108316757191045
func_grouped,rf,0.6523513354310947
geo_grouped,rf,0.6445361633942526
linker_grouped,rf,0.644345573279841
metal_grouped,rf,0.5434645854783027
random,rf,0.6543455207790313
topology_grouped,rf,0.08439667338601395
func_grouped,ridge,0.5309871769429539
geo_grouped,ridge,0.51694410568538
linker_grouped,ridge,0.5249430506863904
metal_grouped,ridge,0.4432691031363124
random,ridge,0.5116648924016547
topology_grouped,ridge,-0.1365913612394477
