split_family,model,mean_spearman_rho
func_grouped,hgb,0.8220482396072939
geo_grouped,hgb,0.8173995984212772
linker_grouped,hgb,0.820594235953131
metal_grouped,hgb,0.7359655944795617
random,hgb,0.8133080071446539
topology_grouped,hgb,0.7243527760413759
func_grouped,mlp,0.8152137062920233
geo_grouped,mlp,0.8091395972490643
linker_grouped,mlp,0.8116867911654717
metal_grouped,mlp,0.7287623660657396
random,mlp,0.8051247084178877
topology_grouped,mlp,0.626423159001279
func_grouped,rf,0.8372194295293441
geo_grouped,rf,0.8329677550192537
linker_grouped,rf,0.8354013771835357
metal_grouped,rf,0.7444064172512006
random,rf,0.8318515330468745
topology_grouped,rf,0.7228306224117808
func_grouped,ridge,0.7703863490151959
geo_grouped,ridge,0.765770569320271
linker_grouped,ridge,0.7686140378922912
metal_grouped,ridge,0.689281958109089
random,ridge,0.7612766914522193
topology_grouped,ridge,0.6669438951842301
