split_family,model,mean_top_5pct_enrichment
func_grouped,hgb,10.520039422331369
geo_grouped,hgb,10.292544343077823
linker_grouped,hgb,10.37472531023155
metal_grouped,hgb,9.277560463149149
random,hgb,10.408841525143396
topology_grouped,hgb,7.2521621084298955
func_grouped,mlp,9.885676453332907
geo_grouped,mlp,9.501069199021313
linker_grouped,mlp,9.63015779747293
metal_grouped,mlp,8.931438585800382
random,mlp,9.58026146982258
topology_grouped,mlp,7.248376573867094
func_grouped,rf,10.872253218799534
geo_grouped,rf,10.669391931231894
linker_grouped,rf,10.659427516325284
metal_grouped,rf,9.498402448840146
random,rf,10.919159670135725
topology_grouped,rf,7.300384428610199
func_grouped,ridge,7.7662191823896976
geo_grouped,ridge,7.373019525473599
linker_grouped,ridge,7.500566268811473
metal_grouped,ridge,7.435312034650084
random,ridge,7.433438497443039
topology_grouped,ridge,6.581542212704091
