split_family,model,mean_top_5pct_overlap
func_grouped,hgb,0.5262355017650024
geo_grouped,hgb,0.514869060475162
linker_grouped,hgb,0.5189104146100691
metal_grouped,hgb,0.46399397909527174
random,hgb,0.5205506065200909
topology_grouped,hgb,0.36269273643946687
func_grouped,mlp,0.49450327786182546
geo_grouped,mlp,0.47527672786177105
linker_grouped,mlp,0.48166954590325767
metal_grouped,mlp,0.4466862552790104
random,mlp,0.4791129643669446
topology_grouped,mlp,0.3625037474367354
func_grouped,rf,0.5438540090771558
geo_grouped,rf,0.5337203023758099
linker_grouped,rf,0.5331502961500494
metal_grouped,rf,0.47503847476028166
random,rf,0.5460718347232751
topology_grouped,rf,0.36510504076830885
func_grouped,ridge,0.38848335854765503
geo_grouped,ridge,0.36882424406047515
linker_grouped,ridge,0.3751542448173741
metal_grouped,ridge,0.3718616512622156
random,ridge,0.3717494313874147
topology_grouped,ridge,0.3291532229014693
