split_family,descriptor_family,model,mae_mean,overlap_mean,r2_mean
func_grouped,compact_geometry,hgb,0.43431972804855856,0.5973777105395864,0.702455565963321
func_grouped,compact_geometry,mlp,0.45148817806067393,0.5574382249117499,0.6703269167585192
func_grouped,compact_geometry,rf,0.39616911501414653,0.6202471003530005,0.7273020542764761
func_grouped,compact_geometry,ridge,0.6570827108618619,0.3662128088754412,0.5292188781790591
func_grouped,enriched_interpretable,hgb,0.4061846510063444,0.6330055471507816,0.7304841501848667
func_grouped,enriched_interpretable,mlp,0.42474424243364817,0.5798285426122037,0.6919316202093635
func_grouped,enriched_interpretable,rf,0.3697111033003472,0.6539082198688855,0.7542560487206679
func_grouped,enriched_interpretable,ridge,0.5608901922842693,0.4448058497226424,0.6027520633675802
func_grouped,geometry_plus_topology,hgb,0.37463335560824496,0.6696419566313666,0.7719716440863937
func_grouped,geometry_plus_topology,mlp,0.38088320753671145,0.6359808371154816,0.7454011776882166
func_grouped,geometry_plus_topology,rf,0.3387198533500885,0.6954362077660111,0.7904603997733521
func_grouped,geometry_plus_topology,ridge,0.5142932895931733,0.5372415532022188,0.6540956039767732
func_grouped,topology_only,hgb,1.377016262063191,0.2049167927382753,0.33822182545201873
func_grouped,topology_only,mlp,1.3777446542734635,0.20476550680786682,0.3388365571098134
func_grouped,topology_only,rf,1.3793862421723497,0.20582450832072613,0.33738683895388283
func_grouped,topology_only,ridge,1.3768306627893008,0.20567322239031766,0.33788216224840334
geo_grouped,compact_geometry,hgb,0.4524511359679673,0.5840712742980562,0.6932826005150742
geo_grouped,compact_geometry,mlp,0.4757819140737586,0.5309665226781857,0.654712460383518
geo_grouped,compact_geometry,rf,0.41482287301680304,0.6116090712742981,0.7189403596065868
geo_grouped,compact_geometry,ridge,0.6715474496851733,0.3497570194384449,0.5197762731576575
geo_grouped,enriched_interpretable,hgb,0.4248893220277652,0.6214902807775378,0.7232642879890612
geo_grouped,enriched_interpretable,mlp,0.4457320765873803,0.5570464362850972,0.6639176680833214
geo_grouped,enriched_interpretable,rf,0.38750259725601854,0.6456533477321814,0.7484007585577973
geo_grouped,enriched_interpretable,ridge,0.5826756083958329,0.4185475161987041,0.5868243031581404
geo_grouped,geometry_plus_topology,hgb,0.3921302764361506,0.6579373650107991,0.7652054370322282
geo_grouped,geometry_plus_topology,mlp,0.3990484167787165,0.6181155507559395,0.7348005103174919
geo_grouped,geometry_plus_topology,rf,0.3568284304431978,0.684719222462203,0.786456268459329
geo_grouped,geometry_plus_topology,ridge,0.5377881648389293,0.5113930885529158,0.6363766521367006
geo_grouped,topology_only,hgb,1.4177107913833766,0.1959773218142548,0.3247285135087124
geo_grouped,topology_only,mlp,1.417937744197775,0.19497840172786174,0.324170271833846
geo_grouped,topology_only,rf,1.4184927312045406,0.19289956803455718,0.3243472669532971
geo_grouped,topology_only,ridge,1.4175295862338326,0.19559935205183582,0.32479919428902154
linker_grouped,compact_geometry,hgb,0.44716407872241054,0.5899802566633762,0.6991220061740552
linker_grouped,compact_geometry,mlp,0.4688926793759932,0.5396841066140177,0.6675733504769913
linker_grouped,compact_geometry,rf,0.41079880940438224,0.6102912142152024,0.7226573077038725
linker_grouped,compact_geometry,ridge,0.679456555526588,0.35599703849950637,0.5257458970832216
linker_grouped,enriched_interpretable,hgb,0.41974417485572124,0.6267028627838105,0.7260320564184494
linker_grouped,enriched_interpretable,mlp,0.4381198736010156,0.5656465942744323,0.6869970091470281
linker_grouped,enriched_interpretable,rf,0.3842007373773976,0.6448173741362291,0.748298704930752
linker_grouped,enriched_interpretable,ridge,0.5840640025548456,0.42583909180651525,0.596852319706765
linker_grouped,geometry_plus_topology,hgb,0.3898089745399345,0.6582428430404739,0.761035174637193
linker_grouped,geometry_plus_topology,mlp,0.3950358983864725,0.6221372161895361,0.7361265246489498
linker_grouped,geometry_plus_topology,rf,0.35601774297240724,0.680009871668312,0.7783823394672965
linker_grouped,geometry_plus_topology,ridge,0.5369575502512947,0.518756169792695,0.6481885065518405
linker_grouped,topology_only,hgb,1.4272292894642362,0.20071569595261596,0.3289809373903066
linker_grouped,topology_only,mlp,1.4273029865093538,0.1992102665350444,0.32875936350241236
linker_grouped,topology_only,rf,1.4298947088766796,0.19748272458045407,0.32804394101744294
linker_grouped,topology_only,ridge,1.427192087497972,0.20002467917077982,0.32898547940373446
metal_grouped,compact_geometry,hgb,0.48590794537234344,0.54582895393671,0.6354227118002346
metal_grouped,compact_geometry,mlp,0.49560257872594116,0.5281228619816309,0.618598789695203
metal_grouped,compact_geometry,rf,0.46411566518528746,0.5640827154709076,0.6522691172259633
metal_grouped,compact_geometry,ridge,0.690196210659554,0.38553533529946804,0.49133303479446555
metal_grouped,enriched_interpretable,hgb,0.464363010943132,0.5689947064426131,0.6505479512021225
metal_grouped,enriched_interpretable,mlp,0.46734280296221326,0.5483711400825041,0.637542076892111
metal_grouped,enriched_interpretable,rf,0.4437678949355214,0.5850959792238974,0.66962593010857
metal_grouped,enriched_interpretable,ridge,0.5980787360843972,0.44720400025725127,0.56316020709515
metal_grouped,geometry_plus_topology,hgb,0.4561866722407181,0.5831189572748515,0.6565404874889749
metal_grouped,geometry_plus_topology,mlp,0.47444332798828703,0.5453513470472761,0.6071408525492558
metal_grouped,geometry_plus_topology,rf,0.43488629473610674,0.6032120883596862,0.675615412497254
metal_grouped,geometry_plus_topology,ridge,0.6043055293297457,0.4913922806243856,0.5413303083376709
metal_grouped,topology_only,hgb,1.5187541312300208,0.1580332987269124,0.17394206746152735
metal_grouped,topology_only,mlp,1.5146456216300135,0.16489967200463046,0.17166650755071672
metal_grouped,topology_only,rf,1.5054575461667252,0.14776311598663514,0.17634788208142332
metal_grouped,topology_only,ridge,1.5204789789327395,0.1633149888677575,0.17725286231796294
random,compact_geometry,hgb,0.4508094103413275,0.5897081122062169,0.6999361923967126
random,compact_geometry,mlp,0.47237604332396155,0.5322024260803639,0.6548255946764967
random,compact_geometry,rf,0.40079715959164075,0.6230288097043214,0.7364526239991955
random,compact_geometry,ridge,0.6842464710954468,0.35322213798332064,0.5144870391812605
random,enriched_interpretable,hgb,0.4228860274370013,0.6271038665655799,0.7307417166646653
random,enriched_interpretable,mlp,0.4428968526054433,0.5577710386656558,0.6760948112052573
random,enriched_interpretable,rf,0.3739075802648326,0.6600454890068234,0.7649529940078127
random,enriched_interpretable,ridge,0.5861863620572972,0.42050796057619405,0.584516719543198
random,geometry_plus_topology,hgb,0.3901655110571224,0.663855193328279,0.7725729060483002
random,geometry_plus_topology,mlp,0.3950736931818558,0.6257581501137225,0.7353361683691032
random,geometry_plus_topology,rf,0.3434215793162399,0.7008339651250948,0.8029951049047526
random,geometry_plus_topology,ridge,0.5424014387174033,0.5120356330553449,0.6336332993709547
random,topology_only,hgb,1.4446585567008356,0.20153525398028807,0.31406280056612756
random,topology_only,mlp,1.4450294555452978,0.20072024260803634,0.31334638177294555
random,topology_only,rf,1.446420778274534,0.2003790750568612,0.3129813602043643
random,topology_only,ridge,1.4446043346224842,0.20123199393479907,0.31402251151120597
topology_grouped,compact_geometry,hgb,0.5937660962851614,0.4614449134618585,0.371416381015662
topology_grouped,compact_geometry,mlp,0.5882965740417576,0.45941736713710474,0.37525899783665384
topology_grouped,compact_geometry,rf,0.5830076585479917,0.46854173853038417,0.37414845028182325
topology_grouped,compact_geometry,ridge,0.7660319003113358,0.4143183780534243,0.15862574857612405
topology_grouped,enriched_interpretable,hgb,0.5824502836646437,0.46695299726547806,0.37461609529434303
topology_grouped,enriched_interpretable,mlp,0.5634044274292455,0.47761736633588886,0.3609521391963936
topology_grouped,enriched_interpretable,rf,0.5682042749882578,0.4743481466583284,0.38125207319578175
topology_grouped,enriched_interpretable,ridge,0.656260810387544,0.42200807039622446,0.31228505753379954
topology_grouped,geometry_plus_topology,hgb,0.5951329679558522,0.4726232303807965,0.3615187615680455
topology_grouped,geometry_plus_topology,mlp,1.1764540341396679,0.4630434567567052,-0.00037106686568130764
topology_grouped,geometry_plus_topology,rf,0.5827089523000939,0.4677804732347884,0.3476412146878288
topology_grouped,geometry_plus_topology,ridge,0.7120265815077098,0.4305366385064942,0.18981415987663447
topology_grouped,topology_only,hgb,1.932650080371158,0.04974980464973442,-0.7299173561468206
topology_grouped,topology_only,mlp,2.321712589973091,0.049936799517242884,-1.579166773043784
topology_grouped,topology_only,rf,1.9409301437226065,0.04974980464973442,-0.7654550446213781
topology_grouped,topology_only,ridge,1.956248445746811,0.04974980464973442,-1.207090410944349
