target_slug,pld_decile,absolute_error,target_display
ch4_58bar,"(1.141, 4.742]",0.9387586914252675,CH4 at 5.8 bar
ch4_58bar,"(4.742, 5.366]",0.93190791804437,CH4 at 5.8 bar
ch4_58bar,"(5.366, 6.219]",0.9076972091198252,CH4 at 5.8 bar
ch4_58bar,"(6.219, 7.036]",0.8630782524808149,CH4 at 5.8 bar
ch4_58bar,"(7.036, 7.732]",0.7953237261031606,CH4 at 5.8 bar
ch4_58bar,"(7.732, 8.535]",0.7060414361717524,CH4 at 5.8 bar
ch4_58bar,"(8.535, 9.418]",0.6119173686797703,CH4 at 5.8 bar
ch4_58bar,"(9.418, 10.515]",0.5578258212342436,CH4 at 5.8 bar
ch4_58bar,"(10.515, 12.386]",0.5298887812595424,CH4 at 5.8 bar
ch4_58bar,"(12.386, 67.429]",0.4491761273746389,CH4 at 5.8 bar
ch4_65bar,"(1.141, 4.742]",2.414341110286138,CH4 at 65 bar
ch4_65bar,"(4.742, 5.366]",1.5017647752910088,CH4 at 65 bar
ch4_65bar,"(5.366, 6.219]",1.5231169884330251,CH4 at 65 bar
ch4_65bar,"(6.219, 7.036]",1.409329252628631,CH4 at 65 bar
ch4_65bar,"(7.036, 7.732]",1.3988235177801214,CH4 at 65 bar
ch4_65bar,"(7.732, 8.535]",1.3699190475844956,CH4 at 65 bar
ch4_65bar,"(8.535, 9.418]",1.531259660113829,CH4 at 65 bar
ch4_65bar,"(9.418, 10.515]",1.75101308816459,CH4 at 65 bar
ch4_65bar,"(10.515, 12.386]",2.142635797313896,CH4 at 65 bar
ch4_65bar,"(12.386, 67.429]",3.129688415573944,CH4 at 65 bar
co2_0015bar,"(1.141, 4.742]",0.2915403889152663,CO2 at 0.015 bar
co2_0015bar,"(4.742, 5.366]",0.15831385257014716,CO2 at 0.015 bar
co2_0015bar,"(5.366, 6.219]",0.09968654244811391,CO2 at 0.015 bar
co2_0015bar,"(6.219, 7.036]",0.07029988168979236,CO2 at 0.015 bar
co2_0015bar,"(7.036, 7.732]",0.06354908023629692,CO2 at 0.015 bar
co2_0015bar,"(7.732, 8.535]",0.045996160211567536,CO2 at 0.015 bar
co2_0015bar,"(8.535, 9.418]",0.03851711406535193,CO2 at 0.015 bar
co2_0015bar,"(9.418, 10.515]",0.038679549271061944,CO2 at 0.015 bar
co2_0015bar,"(10.515, 12.386]",0.03440404608765732,CO2 at 0.015 bar
co2_0015bar,"(12.386, 67.429]",0.03808186673841637,CO2 at 0.015 bar
co2_015bar,"(1.141, 4.742]",0.944151206166241,CO2 at 0.15 bar
co2_015bar,"(4.742, 5.366]",0.7933641761331778,CO2 at 0.15 bar
co2_015bar,"(5.366, 6.219]",0.5504905752502975,CO2 at 0.15 bar
co2_015bar,"(6.219, 7.036]",0.42976935916440984,CO2 at 0.15 bar
co2_015bar,"(7.036, 7.732]",0.3942713125065377,CO2 at 0.15 bar
co2_015bar,"(7.732, 8.535]",0.2903284703394962,CO2 at 0.15 bar
co2_015bar,"(8.535, 9.418]",0.2501271934880098,CO2 at 0.15 bar
co2_015bar,"(9.418, 10.515]",0.23042766078179056,CO2 at 0.15 bar
co2_015bar,"(10.515, 12.386]",0.2041595151234347,CO2 at 0.15 bar
co2_015bar,"(12.386, 67.429]",0.20440276695997395,CO2 at 0.15 bar
