response,factor,eta_squared
r2,split_family,0.18311452320570018
r2,descriptor_family,0.18608955964231266
r2,model,0.010518739785003567
r2,target_slug,0.0988161621565667
mae,split_family,0.011407208347835904
mae,descriptor_family,0.17720376224767034
mae,model,0.002841907408833909
mae,target_slug,0.360723670059199
rmse,split_family,0.007923018809241074
rmse,descriptor_family,0.18028531845652196
rmse,model,0.0030601804993498475
rmse,target_slug,0.36356653366662905
top_5pct_overlap,split_family,0.03583539710680107
top_5pct_overlap,descriptor_family,0.4653835682434935
top_5pct_overlap,model,0.04416194372812496
top_5pct_overlap,target_slug,0.26340766242833374
top_5pct_enrichment,split_family,0.03580440513071137
top_5pct_enrichment,descriptor_family,0.4654022222544536
top_5pct_enrichment,model,0.044162080838314556
top_5pct_enrichment,target_slug,0.2634240817108236
